date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:04	42222/42222	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2006:10:02%20GMT	http://asianitbd.com/wp/eventtime/about-us/	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/about-us/index.html	(from http://asianitbd.com/wp/eventtime/)
22:10:04	85580/85580	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2006:10:02%20GMT	http://asianitbd.com/wp/eventtime/home-v2/	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/home-v2/index.html	(from http://asianitbd.com/wp/eventtime/)
22:10:04	45616/45616	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2006:10:03%20GMT	http://asianitbd.com/wp/eventtime/services-html/	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/services-html/index.html	(from http://asianitbd.com/wp/eventtime/)
22:10:06	27795/27795	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2006:10:05%20GMT	http://asianitbd.com/wp/eventtime/2016/02/	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/2016/02/index.html	(from http://asianitbd.com/wp/eventtime/)
22:10:07	32366/32366	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2006:10:05%20GMT	http://asianitbd.com/wp/eventtime/2016/02/11/blog-heading/	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/2016/02/11/blog-heading/index.html	(from http://asianitbd.com/wp/eventtime/)
22:10:15	2342/2342	---M--	200	added ('OK')	image/png	etag:%225a0b1e-926-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/1-5.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/1-5.png	(from http://asianitbd.com/wp/eventtime/)
22:10:17	2569/2569	---M--	200	added ('OK')	image/png	etag:%225a0bd3-a09-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/2-5.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/2-5.png	(from http://asianitbd.com/wp/eventtime/)
22:10:20	2568/2568	---M--	200	added ('OK')	image/png	etag:%225a0ae3-a08-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/3-5.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/3-5.png	(from http://asianitbd.com/wp/eventtime/)
22:10:21	1899/1899	---M--	200	added ('OK')	image/png	etag:%225a0a3a-76b-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/4-5.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/4-5.png	(from http://asianitbd.com/wp/eventtime/)
22:10:36	66189/66189	---M--	200	added ('OK')	image/jpeg	etag:%225a0a43-1028d-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/1-3.jpg	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/1-3.jpg	(from http://asianitbd.com/wp/eventtime/)
